Web TE Worker TC Detailed process|WTE-UC100 - Timecard With Regional and Contextual panels fully operational - Period Navigation, Help, and Accrual Information|LONG TERM PLANNING|SAXIAO#SDEVALLA
Setup Layout Composer|LC-UC100 - Search / Edit existing Timecards - Basic and Advanced Search , enable Saved Search |LONG TERM PLANNING|JYOTVENK
Manage (Setup) HCM Groups|HCM Group create group|LONG TERM PLANNING|ASIDGIDD
Approvals Flow|HR Manager rejects timecard|LONG TERM PLANNING|MIHIPATE#SOSAGBEM
Manage (Setup) Public Timecard Templates|UC6: Create Project Fields Timecard Template|LONG TERM PLANNING|HVANGIPU
Manage (Setup) Timekeeper Groups|TKG-UC10 - Create New group for Self|LONG TERM PLANNING|SANDDE
Web TimeEntry - Timekeeper|TKE-UC10 - Enable TK Group entry from Table of Worker|LONG TERM PLANNING|SNANDURI
Manage (Setup) T&L Rule Sets|RS-UC10 - CRUD TER Rule Set (x5)|LONG TERM PLANNING|DCOHANOF
Transfer Time|TTP-UC10 - Use case to define Transffer process - Time Moved to payroll on Submit / Approval|LONG TERM PLANNING|GKRISHNA
Manage Worker Templates|WPT-UC10 - Worker Create Template from Template Page|LONG TERM PLANNING|KAREREDD
Web TimeEntry - Manager|Manager creates own timecard from Portrait |LONG TERM PLANNING|SUBCHATT
Manage (Setup) - Approval Rules|HR Manager Approval|LONG TERM PLANNING|KARUNART
Manage (Setup) - Conditional Rules|CR-UC10 - Define Individual Rules for Consolidate Rule|LONG TERM PLANNING|JASSINGH
Web TE Worker TC Detailed process|WTE-UC110 - Time Summary - On timecard, along with Analytics.  Changes to Analytics For worker|LONG TERM PLANNING|SAXIAO#SDEVALLA
Setup Layout Composer|LC-UC200 - All Crud Functions From Search / Results  (Create, Duplicate, Edit and Delete a Timecard Set (never used)) on timecards from the Results table, along with changes from the task page that reflects back to questionaire|LONG TERM PLANNING|JYOTVENK
Manage (Setup) HCM Groups|HCM Group Edit group|LONG TERM PLANNING|ASIDGIDD
Approvals Flow|HR Manager approves corrected timecard|LONG TERM PLANNING|MIHIPATE#SOSAGBEM
Manage (Setup) Timekeeper Groups|TKG-UC20 - Create New Group for Other Timekeeper|LONG TERM PLANNING|HVANGIPU
Web TimeEntry - Timekeeper|TKE-UC20 - Enable TK Group Entry from Gantt list of Workers|LONG TERM PLANNING|SANDDE
Manage (Setup) T&L Rule Sets|RS-UC20 - CRUD TCR Rule Set (x5)|LONG TERM PLANNING|SNANDURI
Transfer Time|TTP-UC20 - Use case to define Transffer process - Time Moved to payroll on Submit no Approval needed|LONG TERM PLANNING|DCOHANOF
Manage Worker Templates|WPT-UC20 - Worker edit Template from Template Page|LONG TERM PLANNING|GKRISHNA
Web TimeEntry - Manager|Manager edits own timecard|LONG TERM PLANNING|KAREREDD
Manage (Setup) - Approval Rules|Project Data Approval Rule|LONG TERM PLANNING|SUBCHATT
Manage (Setup) - Conditional Rules|CR-UC20 - Define Rule Conditions and Conditional Rule, defineing default rule|LONG TERM PLANNING|KARUNART
Manage (Setup) - Rule Balance|RB-UC10 - Create Balance|LONG TERM PLANNING|JASSINGH
